albedo_above,albedo_below,albedo_total,count_above,count_below,count_total,date,median_elevation,timestamp,year,month,season
0.47089159604519776,0.4035710900473934,0.4421489275596924,36,20,56,2019-03-30,2090.5361445783133,1553904000000,2019,3,Printemps
0.47000000000000003,,0.47000000000000003,1,0,1,2019-03-31,2090.5361445783133,1553990400000,2019,3,Printemps
0.483218089211298,0.4694190974819246,0.4779418493803621,36,17,53,2019-04-01,2090.5361445783133,1554076800000,2019,4,Printemps
0.520950969213227,0.4388675034867503,0.48402885821831865,29,15,44,2019-04-02,2090.5361445783133,1554163200000,2019,4,Printemps
0.47761557177615577,0.457,0.47058941459502807,32,10,42,2019-04-02,2090.5361445783133,1554163200000,2019,4,Printemps
0.31,,0.31,1,0,1,2019-04-04,2090.5361445783133,1554336000000,2019,4,Printemps
0.5522871643745907,0.48323515325670496,0.5242473745624271,41,21,62,2019-04-06,2090.5361445783133,1554508800000,2019,4,Printemps
0.5024882903981265,0.4504330708661417,0.4830726872246696,10,4,14,2019-04-06,2090.5361445783133,1554508800000,2019,4,Printemps
0.6091379310344829,,0.6091379310344829,4,0,4,2019-04-07,2090.5361445783133,1554595200000,2019,4,Printemps
0.4991334617093762,0.39473477859778605,0.45830432037521435,43,21,64,2019-04-08,2090.5361445783133,1554681600000,2019,4,Printemps
0.49557711232953744,0.388603370058328,0.46320913815079895,46,14,60,2019-04-08,2090.5361445783133,1554681600000,2019,4,Printemps
0.68,,0.68,1,0,1,2019-04-09,2090.5361445783133,1554768000000,2019,4,Printemps
0.5234929356357927,,0.5234929356357927,6,0,6,2019-04-10,2090.5361445783133,1554854400000,2019,4,Printemps
0.6401649560117301,0.6236679536679537,0.6313793694311173,16,15,31,2019-04-11,2090.5361445783133,1554940800000,2019,4,Printemps
0.4502272727272726,0.46,0.45178866963717385,12,1,13,2019-04-12,2090.5361445783133,1555027200000,2019,4,Printemps
0.6186430010070494,0.5849581111957348,0.6102743614001892,24,7,31,2019-04-14,2090.5361445783133,1555200000000,2019,4,Printemps
