Albedo_BSA_Band1,Albedo_BSA_Band1_count,Albedo_BSA_Band2,Albedo_BSA_Band2_count,Albedo_BSA_Band3,Albedo_BSA_Band3_count,Albedo_BSA_Band4,Albedo_BSA_Band4_count,Albedo_BSA_nir,Albedo_BSA_nir_count,Albedo_BSA_vis,Albedo_BSA_vis_count,date,doy,month,year
0.26776086956521744,5,0.21193453145057767,7,0.4424562334217507,6,0.3430949935815148,7,0.14201044386422973,5,0.3664347826086957,5,2016-01-07,6,1,2016
0.37934291876347953,9,0.3345387840670859,10,0.36525642909625283,9,0.3373281573498965,8,0.2595354691075515,5,0.3303528037383178,6,2017-08-03,214,8,2017
0.37440838126540676,9,0.3298545603944125,9,0.3616817785527463,8,0.36066595517609396,7,0.2580160183066361,5,0.3481600853788688,7,2017-08-04,215,8,2017
0.3825422808378589,10,0.33688363072148964,10,0.366825266611977,9,0.3701982160555006,8,0.25825629290617846,5,0.3571902874132805,8,2017-08-05,216,8,2017
0.3828681148176882,10,0.33725446082234295,10,0.3666767842493847,9,0.3698325074331021,8,0.25825629290617846,5,0.35715758176412293,8,2017-08-06,217,8,2017
0.4123791973791975,8,0.3617016348773842,9,0.3690435967302453,9,0.3985177111716622,9,0.22934190476190483,7,0.3884832104832106,8,2018-08-08,219,8,2018
0.40141929055400555,15,0.35742298761609903,16,0.3610068853786959,14,0.3912495017935433,15,0.23865337586390223,11,0.3791004455245038,14,2018-08-09,220,8,2018
0.3931985216473071,18,0.34674093629003866,18,0.3533600867678959,17,0.38291869060190065,18,0.23691493886230736,11,0.3699222704266087,17,2018-08-10,221,8,2018
0.40212867236891026,17,0.36016300940438867,19,0.35754184549356216,18,0.3894520743919885,18,0.2413939130434782,15,0.37644032134659516,16,2018-08-11,222,8,2018
0.4020779363336992,18,0.3605204339963833,19,0.35928006932409,19,0.390209293816319,18,0.2409903225806452,14,0.3779535309184047,18,2018-08-12,223,8,2018
0.4038924259055982,18,0.3624419529837251,19,0.36121005199306755,19,0.3923351819757365,19,0.2384202657807309,16,0.3795729967069154,18,2018-08-13,224,8,2018
0.4041663572224285,17,0.36196360935759375,17,0.3607833622183708,19,0.3917490467937608,19,0.23727868150684933,14,0.3801303379131081,17,2018-08-14,225,8,2018
0.39425460965084336,17,0.358812613926358,19,0.35421547574972223,18,0.3879459553695954,19,0.245333940940576,19,0.3712958022754021,17,2018-08-15,226,8,2018
0.3993981042654028,19,0.3573775474956821,20,0.35811684318414755,21,0.3887160915613255,21,0.23884339133654198,18,0.375413780532264,19,2018-08-16,227,8,2018
0.40237533615059545,18,0.36215285451197043,18,0.360605310369573,20,0.39066337760910813,19,0.2424196747322491,16,0.378179408374952,18,2018-08-17,228,8,2018
0.42952851108764517,14,0.3891832844574781,15,0.3778046198267565,16,0.4128950914340712,16,0.2608844492440605,13,0.39990390707497364,14,2018-08-18,229,8,2018
0.3931989875389407,16,0.35523752212389376,18,0.35344277213860686,19,0.38432166608330404,19,0.23804332953249704,16,0.3695514018691588,16,2018-08-19,230,8,2018
0.3705551675977653,8,0.34975771172181724,12,0.33326815642458096,8,0.3607912011173184,8,0.2397397644419518,12,0.3497381284916201,8,2018-08-20,231,8,2018
0.38255033277870204,14,0.3534294010889292,18,0.3390332409972298,13,0.3716164725457571,14,0.24877567886658797,17,0.3557751615881809,13,2018-08-21,232,8,2018
0.3830143207855972,16,0.3532979310344827,21,0.3432697394789578,18,0.3763907962016069,20,0.2479571854058078,20,0.3557778785131459,15,2018-08-22,233,8,2018
0.3926974693251533,17,0.35375574912891977,20,0.353597207678883,19,0.38405958188153294,20,0.25059269776876275,16,0.3697653374233129,17,2018-08-23,234,8,2018
0.411687134502924,17,0.3690004177109439,17,0.3646458966565349,18,0.387610237988325,16,0.24698174557900743,10,0.37832061068702283,16,2018-08-24,235,8,2018
0.4245564554549785,13,0.3855064316341115,13,0.37168078733418924,14,0.40201238685088136,13,0.2669303797468355,8,0.39341353025250114,13,2018-08-25,236,8,2018
0.4312557184750733,11,0.40567140921409217,10,0.3762680351906158,11,0.4101302052785923,11,0.27815897435897435,6,0.4001208211143696,11,2018-08-26,237,8,2018
0.6994400715563505,8,0.65395530726257,10,0.6950436893203884,17,0.7329954233409611,11,0.47022206095790997,8,0.7072808586762074,8,2020-04-13,103,4,2020
0.7000894454382827,8,0.6542807262569833,10,0.6953883495145633,17,0.7070017094017094,9,0.47006966618287366,8,0.7077817531305903,8,2020-04-14,104,4,2020
0.6864283582089552,9,0.6461023720349564,10,0.6897214854111406,18,0.6941293103448275,10,0.4651408268733851,8,0.6941477611940297,9,2020-04-15,105,4,2020
0.6850089552238805,9,0.644692883895131,10,0.6891240053050398,18,0.6928362068965517,10,0.46387855297157626,8,0.6926582089552238,9,2020-04-16,106,4,2020
0.6862492537313432,9,0.6477291414752115,11,0.7011465677179962,20,0.695933962264151,11,0.4689552599758162,11,0.6965194029850745,9,2020-04-17,107,4,2020
0.6868388059701491,9,0.6475078597339783,11,0.7013116883116883,20,0.6931882183908046,10,0.4688802902055623,11,0.6967716417910447,9,2020-04-18,108,4,2020
0.7307022767075306,8,0.6683456334563347,10,0.721880706921944,18,0.7109378531073448,10,0.4810750307503075,10,0.7343152364273206,8,2020-04-19,109,4,2020
0.7285796847635727,8,0.6710762100926879,11,0.7254255144032924,17,0.7161031073446329,10,0.48994025604551916,7,0.7330718038528896,8,2020-04-20,110,4,2020
0.7167800586510265,9,0.6712790937178167,11,0.7255069958847739,17,0.71555790960452,10,0.48984068278805126,7,0.716483870967742,9,2020-04-21,111,4,2020
