albedo_max,albedo_mean,albedo_min,albedo_stdDev,date,pixel_count,timestamp,year,month,season,elevation,glacier_median_elevation,glacier_min_elevation,glacier_max_elevation
0.42,0.21638095238095237,0.1,0.07733601602746291,2016-06-28,16,1467072000000,2016,6,Été,2188.71951173208,2482.6954482512174,2046,3298
0.33,0.2877241379310345,0.25,0.02958039891549786,2016-06-28,4,1467072000000,2016,6,Été,2582.4718135408716,2482.6954482512174,2046,3298
0.2,0.14811333794056666,0.1,0.023008949665421125,2016-06-29,17,1467158400000,2016,6,Été,2851.4348152110842,2482.6954482512174,2046,3298
0.28,0.23766997167138812,0.21,0.022360679774997907,2016-06-29,16,1467158400000,2016,6,Été,2218.9654012531732,2482.6954482512174,2046,3298
0.66,0.5380772646536413,0.22,0.10792176535813555,2016-07-03,22,1467504000000,2016,7,Été,2873.106760548264,2482.6954482512174,2046,3298
0.05,0.05,0.05,0.0,2016-07-04,3,1467590400000,2016,7,Été,2342.034319924149,2482.6954482512174,2046,3298
0.18,0.17358851674641151,0.17,0.005000000000000765,2016-07-04,4,1467590400000,2016,7,Été,2869.4394276903768,2482.6954482512174,2046,3298
0.76,0.5329012517385258,0.17,0.21932996296233936,2016-07-05,35,1467676800000,2016,7,Été,2253.3902507169087,2482.6954482512174,2046,3298
0.74,0.5469288389513108,0.14,0.23191263672853207,2016-07-05,22,1467676800000,2016,7,Été,2828.320073143569,2482.6954482512174,2046,3298
0.27,0.2417241379310345,0.17,0.03815756805667771,2016-07-08,5,1467936000000,2016,7,Été,2864.835908365046,2482.6954482512174,2046,3298
0.6900000000000001,0.5805257510729614,0.45,0.07816779440173942,2016-07-09,7,1468022400000,2016,7,Été,2161.287657838675,2482.6954482512174,2046,3298
0.37,0.2091081871345029,0.17,0.06272713828600036,2016-07-10,7,1468108800000,2016,7,Été,2143.810920209899,2482.6954482512174,2046,3298
0.5,0.16596237337192474,0.11,0.121158321393849,2016-07-18,11,1468800000000,2016,7,Été,2864.1929053842778,2482.6954482512174,2046,3298
0.43,0.34706406303528603,0.3,0.03584420812677807,2016-07-19,21,1468886400000,2016,7,Été,2211.632688959866,2482.6954482512174,2046,3298
0.3,0.2678336221837088,0.25,0.020303814862216545,2016-07-20,7,1468972800000,2016,7,Été,2202.6420174749655,2482.6954482512174,2046,3298
0.15,0.15,0.15,0.0,2016-07-22,2,1469145600000,2016,7,Été,2189.6988625473305,2482.6954482512174,2046,3298
0.52,0.18412489006156552,0.16,0.08692269873603538,2016-07-22,15,1469145600000,2016,7,Été,2803.263943126064,2482.6954482512174,2046,3298
0.13,0.12865771812080537,0.12,0.005000000000000071,2016-07-24,4,1469318400000,2016,7,Été,2382.953871404064,2482.6954482512174,2046,3298
0.5,0.37733249051833123,0.26,0.08699856320652649,2016-07-24,8,1469318400000,2016,7,Été,2855.309882631556,2482.6954482512174,2046,3298
0.25,0.13715753424657534,0.05,0.05383516371360827,2016-07-26,13,1469491200000,2016,7,Été,2765.4919669236683,2482.6954482512174,2046,3298
0.44,0.2383731513083049,0.11,0.08629653186972457,2016-07-26,19,1469491200000,2016,7,Été,2807.750942642805,2482.6954482512174,2046,3298
0.27,0.15931034482758624,0.12,0.04377213725647853,2016-07-27,10,1469577600000,2016,7,Été,2732.9296625311094,2482.6954482512174,2046,3298
0.22,0.17776216216216217,0.12,0.028451141552164643,2016-07-28,13,1469664000000,2016,7,Été,2390.8568334568754,2482.6954482512174,2046,3298
0.29,0.17463235294117652,0.09,0.05695049933933859,2016-07-29,16,1469750400000,2016,7,Été,2589.45724043587,2482.6954482512174,2046,3298
0.15,0.09170379289584586,0.05,0.03536406769519896,2016-07-29,18,1469750400000,2016,7,Été,2876.0711618093715,2482.6954482512174,2046,3298
0.37,0.2958257713248638,0.22,0.054160256030906156,2016-08-01,6,1470009600000,2016,8,Été,2382.898507327618,2482.6954482512174,2046,3298
0.65,0.47742647058823534,0.38,0.11605494388435197,2016-08-01,4,1470009600000,2016,8,Été,2846.295006783714,2482.6954482512174,2046,3298
0.24,0.16877136752136754,0.09,0.05912698199637788,2016-08-02,10,1470096000000,2016,8,Été,2346.544853315269,2482.6954482512174,2046,3298
0.47000000000000003,0.2940768194070081,0.17,0.09049269216704808,2016-08-02,17,1470096000000,2016,8,Été,2339.8675891983494,2482.6954482512174,2046,3298
0.15,0.09739631336405531,0.08,0.024494897427831896,2016-08-03,6,1470182400000,2016,8,Été,2873.5814411618785,2482.6954482512174,2046,3298
0.15,0.10297269969666331,0.06,0.033697732714273856,2016-08-05,11,1470355200000,2016,8,Été,2421.503410966472,2482.6954482512174,2046,3298
